Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
rxn05540	Dipeptide transport via ABC system (ala-gln)	cpd00001[c] + cpd00002[c] + cpd11587[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11587[c] 	H2O + ATP + Ala-Gln  -> H+ + ADP + Phosphate + Ala-Gln 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05541	Dipeptide transport via ABC system (ala-glu)	cpd00001[c] + cpd00002[c] + cpd11586[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11586[c] 	H2O + ATP + ala-L-glu-L  -> H+ + ADP + Phosphate + ala-L-glu-L 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05542	Dipeptide transport via ABC system (ala-gly)	cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11585[c] 	H2O + ATP + L-alanylglycine  -> H+ + ADP + Phosphate + L-alanylglycine	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05543	Dipeptide transport via ABC system (ala-his)	cpd00001[c] + cpd00002[c] + cpd11584[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11584[c] 	H2O + ATP + Ala-His  -> H+ + ADP + Phosphate + Ala-His	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05544	Dipeptide transport via ABC system (ala-leu)	cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11583[c] 	H2O + ATP + Ala-Leu  -> H+ + ADP + Phosphate + Ala-Leu	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05545	Dipeptide transport via ABC system (ala-thr)	cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11582[c] 	H2O + ATP + ala-L-Thr-L  -> H+ + ADP + Phosphate + ala-L-Thr-L	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05546	Dipeptide transport via ABC system (gly-asn)	cpd00001[c] + cpd00002[c] + cpd11581[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11581[c] 	H2O + ATP + gly-asn-L  -> H+ + ADP + Phosphate + gly-asn-L	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05547	Dipeptide transport via ABC system (gly-gln)	cpd00001[c] + cpd00002[c] + cpd11580[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11580[c] 	H2O + ATP + Gly-Gln  -> H+ + ADP + Phosphate + Gly-Gln	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		TC-3.A.1.5,3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn05549	Deoxyribose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01242[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd01242[c] 	H2O + ATP + Thyminose  -> H+ + ADP + Phosphate + Thyminose	(PA1948 and PA1947 and PA1946)	PA1948 PA1947 PA1946		D-ribose utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05551	ethanolamine transport in/out via proton symport	cpd00067[e] + cpd00162[e]  -> cpd00067[c] + cpd00162[c] 	H+ + Aminoethanol  -> H+ + Aminoethanol 	PA4023	PA4023		Ethanolamine utilization	Transport	0	0	1000	0		TC-2.A.3.5,2.A.3.5	*JAB 01/13/14 - added from Burk 	
rxn05565	galactarate transport in via proton symport	cpd00067[e] + cpd00652[e]  -> cpd00067[c] + cpd00652[c] 	H+ + D-Mucic_acid  -> H+ + D-Mucic_acid	PA2210	PA2210		D-galactarate, D-glucarate and D-glycerate catabolism	Transport	0	0	1000	0		TC-2.A.3.1,2.A.3.1	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn05572	glucarate transport in via proton symport	cpd00067[e] + cpd00609[e]  -> cpd00067[c] + cpd00609[c] 	H+ + D-Glucarate  -> H+ + D-Glucarate	PA2210	PA2210		D-galactarate, D-glucarate and D-glycerate catabolism	Transport	0	0	1000	0		TC-2.A.3.1,2.A.3.1	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn05574	glucuronate transport in via proton symport	cpd00067[e] + cpd00164[e]  -> cpd00067[c] + cpd00164[c] 	H+ + Glucuronate  -> H+ + Glucuronate	PA0241	PA0241		D-Galacturonate Utilization|Alginate metabolism	Transport	0	0	1000	0		TC-2.A.1.14,2.A.1.14	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	similar to E. coli hexuronate transporter ExuT
rxn05582	glycine transport in/out via proton symport	cpd00067[e] + cpd00033[e]  <=> cpd00067[c] + cpd00033[c] 	H+ + Glycine  <=> H+ + Glycine 	(PA3933) or (PA5291) or (PA5375)	PA3933 PA5291 PA5375		N/A	Transport	1	-1000	1000	0			*JAB 01/13/14 - added from Burk, BCAL1094 similar to ecoli's cycA (D-serine/D-alanine/glycine transporter)	
rxn05608	Maltotriose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01262[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd01262[c] 	H2O + ATP + Amylotriose  -> H+ + ADP + Phosphate + Amylotriose	(PA2340 and PA2339 and PA2341)	PA2340 PA2339 PA2341		Maltose and Maltodextrin Utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05613	L-methionine S-oxide transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01914[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd01914[c] 	H2O + ATP + L-Methionine S-oxide  -> H+ + ADP + Phosphate + L-Methionine S-oxide 	(PA2351 and PA2350 and PA2349)	PA2351 PA2350 PA2349		Staphylococcal pathogenicity islands SaPI|Methionine Biosynthesis|Methionine Degradation	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05614	L-methionine R-oxide transport via ABC system	cpd00001[c] + cpd00002[c] + cpd11576[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11576[c] 	H2O + ATP + L-methionine_R-oxide  -> H+ + ADP + Phosphate + L-methionine_R-oxide	(PA2351 and PA2350 and PA2349)	PA2351 PA2350 PA2349		Staphylococcal pathogenicity islands SaPI|Methionine Biosynthesis|Methionine Degradation	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05618	manganese transport in via proton symport	cpd00067[e] + cpd00030[e]  -> cpd00067[c] + cpd00030[c] 	H+ + Mn2+  -> H+ + Mn2+ 	PA4334 or PA0809	PA4334 PA0809		Transport of Manganese	Transport	0	0	1000	0		TC-2.A.55,2.A.55	*JAB 01/13/14 - added from Burk 	
rxn05620	MOPS transport via ABC system	cpd00001[c] + cpd00002[c] + cpd11575[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd11575[c] 	H2O + ATP + MOPS  -> H+ + ADP + Phosphate + MOPS	(PA3445 and ((PA3442 and PA3443) or (PA3447 and PA3448))) or (PA2296 and PA2295 and PA2294)	PA3445 PA3442 PA3443 PA3447 PA3448 PA2296 PA2295 PA2294		Alkanesulfonate assimilation|Alkanesulfonates Utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Made consistent with multivorans as best as possible	
rxn05625	nitrite transport in via proton symport	cpd00067[e] + cpd00075[e]  -> cpd00067[c] + cpd00075[c] 	H+ + Nitrite  -> H+ + Nitrite 	PA3876 or (PA3876 and PA3877)	PA3876 PA3876 PA3877		None	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in.	
rxn05638	L-proline transport in via proton symport	cpd00067[e] + cpd00129[e]  -> cpd00067[c] + cpd00129[c] 	H+ + L-Proline  -> H+ + L-Proline 	PA5370	PA5370		Proline, 4-hydroxyproline uptake and utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in.	
rxn05221	sodium-proline symport	cpd00971[e] + cpd00129[e]  <=> cpd00971[c] + cpd00129[c] 	Na+ + L-Proline  <=> Na+ + L-Proline 	PA0783	PA0783		Proline, 4-hydroxyproline uptake and utilization	Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05644	D-ribose transport out via ABC system	cpd00001[c] + cpd00002[c] + cpd00105[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00105[e] 	H2O + ATP + D-Ribose  -> H+ + ADP + Phosphate + D-Ribose 	(PA1948 and PA1947 and PA1946)	PA1948 PA1947 PA1946		D-ribose utilization	Transport	0	0	1000	0		TC-3.A.1.2,3.A.1.2	*JAB 01/13/14 - added from Burk, Changed to reversible… was causing ATP loop in conjunction with rxn 05160.	
rxn05649	D-serine transport in/out via proton symport	cpd00067[e] + cpd00550[e]  <=> cpd00067[c] + cpd00550[c] 	H+ + D-Serine  <=> H+ + D-Serine 	(PA2041 and PA2042)	PA2041 PA2042		N/A	Transport	1	-1000	1000	0			*JAB 01/13/14 - added from Burk, BCAL1094 similar to ecoli's cycA (D-serine/D-alanine/glycine transporter)	
rxn05651	sulfate transport in via proton symport	cpd00067[e] + cpd00048[e]  -> cpd00067[c] + cpd00048[c] 	H+ + Sulfate  -> H+ + Sulfate 	(PA0103)	PA0103		Inorganic Sulfur Assimilation	Transport	0	0	1000	0		TC-2.A.53,2.A.53	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn05654	succinate transporter in/out via proton symport	cpd00067[e] + cpd00036[e]  <=> cpd00067[c] + cpd00036[c] 	H+ + Succinate  <=> H+ + Succinate 	(PA5479) or (PA0119) or (PA1183)	PA5479 PA0119 PA1183			Transport	1	-1000	1000	0		TC-2.A.56,2.A.56	*JAB 01/13/14 - added from Burk 	
rxn05656	sulfoacetate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd09878[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd09878[c] 	H2O + ATP + Sulfoacetate  -> H+ + ADP + Phosphate + Sulfoacetate 	(PA3445 and ((PA3442 and PA3443) or (PA3447 and PA3448))) or (PA2296 and PA2295 and PA2294)	PA3445 PA3442 PA3443 PA3447 PA3448 PA2296 PA2295 PA2294		Alkanesulfonate assimilation|Alkanesulfonates Utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Made consistent with multivorans as best as possible	
rxn05157	Urea transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00073[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00073[c] 	H2O + ATP + Urea  -> H+ + ADP + Phosphate + Urea 	PA4859 and PA4860 and PA4861 and PA4862	PA4859 PA4860 PA4861 PA4862		Amidase clustered with urea and nitrile hydratase functions|Urea decomposition	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn05673	galacturonate transport in via proton symport	cpd00067[e] + cpd00280[e]  -> cpd00067[c] + cpd00280[c] 	H+ + D-Galacturonate  -> H+ + D-Galacturonate 	PA0241	PA0241		D-Galacturonate Utilization|Alginate metabolism	Transport	0	0	1000	0		TC-2.A.1.14,2.A.1.14	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn05683	butanoate transport in via proton symport	cpd00067[e] + cpd00211[e]  -> cpd00067[c] + cpd00211[c] 	H+ + Butyrate  -> H+ + Butyrate 	PA2002	PA2002		Polyhydroxybutyrate metabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn05687	Putrescine transport in via proton symport	cpd00067[e] + cpd00118[e]  -> cpd00067[c] + cpd00118[c] 	H+ + Putrescine  -> H+ + Putrescine 	PA1819	PA1819		Polyamine Metabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev… transport IN	
rxn09660	Spermidine transport in via proton symport	cpd00067[e] + cpd00264[e]  -> cpd00067[c] + cpd00264[c] 	H+ + Spermidine  -> H+ + Spermidine 	PA1819	PA1819		Polyamine Metabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn09685	deoxyuridine transport in via proton symport	cpd00067[e] + cpd00412[e]  -> cpd00067[c] + cpd00412[c] 	H+ + Deoxyuridine  -> H+ + Deoxyuridine 	(PA0476) or (PA1419) or (PA5099)	PA0476 PA1419 PA5099		Deoxyribose and Deoxynucleoside Catabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn09687	deoxyinosine transport in via proton symport	cpd00067[e] + cpd03279[e]  -> cpd00067[c] + cpd03279[c] 	H+ + Deoxyinosine  -> H+ + Deoxyinosine 	(PA0476) or (PA1419) or (PA5099)	PA0476 PA1419 PA5099		Deoxyribose and Deoxynucleoside Catabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn09688	deoxyguanosine transport in via proton symport	cpd00067[e] + cpd00277[e]  -> cpd00067[c] + cpd00277[c] 	H+ + Deoxyguanosine  -> H+ + Deoxyguanosine 	(PA0476) or (PA1419) or (PA5099)	PA0476 PA1419 PA5099		Deoxyribose and Deoxynucleoside Catabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk, Changed to irrev... Transport in	
rxn10151	Aspartate transport via proton symport (2 H)	2 cpd00067[e] + cpd00041[e]  -> 2 cpd00067[c] + cpd00041[c] 	2 H+ + L-Aspartate  -> 2 H+ + L-Aspartate 	PA5479	PA5479		N/A	Transport	0	0	1000	0			*JAB 01/13/14 - added from Burk, Changed to irrev like ecoli (ASPt2_2pp)	
rxn10160	D-galactonate transport via proton symport, reversible	cpd00067[e] + cpd00653[e]  <=> cpd00067[c] + cpd00653[c] 	H+ + D-Galactonate  <=> H+ + D-Galactonate 	PA2210	PA2210		D-galactonate catabolism	Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn10174	maltohexaose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01329[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd01329[c] 	H2O + ATP + Maltohexaose  -> H+ + ADP + Phosphate + Maltohexaose	(PA3187 and PA3189 and PA3188)	PA3187 PA3189 PA3188		Maltose and Maltodextrin Utilization	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn10182	putrescine/ornithine antiporter	cpd00064[c] + cpd00118[e]  <=> cpd00118[c] + cpd00064[e] 	Ornithine + Putrescine  <=> Putrescine + Ornithine 	PA1819	PA1819		Polyamine Metabolism	Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn10194	Teichoic acid (unsubstituted) export	cpd15661[c] + cpd15665[c]  <=> cpd00286[c] + cpd15667[c] 	Prenol-45n teichoic acid + Peptidoglycan polymer (n subunits)  <=> Undecaprenylphosphate + glycerol teichoic acid (n=45), linked, unsubstituted	(PA5450 and PA5451)	PA5450 PA5451		N/A	Transport	1	-1000	1000	0			*JAB 01/13/14 - added from Burk, Changed (n-1) subunit to n subunit	
rxn10195	Teichoic acid (glucose substituted) export	cpd15665[c] + cpd15662[c]  <=> cpd00286[c] + cpd15669[c] 	Peptidoglycan polymer (n subunits) + Prenol-45n teichoic acid-glucose substituted  <=> Undecaprenylphosphate + glycerol teichoic acid (n=45), linked, glucose substituted	(PA5450 and PA5451)	PA5450 PA5451		N/A	Transport	1	-1000	1000	0			*JAB 01/13/14 - added from Burk, Changed (n-1) subunit to n subunit	
rxn10196	Teichoic acid (D-alanine substituted) export	cpd15665[c] + cpd15663[c]  <=> cpd00286[c] + cpd15668[c] 	Peptidoglycan polymer (n subunits) + Prenol-45n teichoic acid-alanine substituted  <=> Undecaprenylphosphate + glycerol teichoic acid (n=45), linked, D-ala substituted	(PA5450 and PA5451)	PA5450 PA5451		N/A	Transport	1	-1000	1000	0			*JAB 01/13/14 - added from Burk, Changed (n-1) subunit to n subunit	
rxn10343	Mercury (Hg+2) ABC transporter	cpd00001[c] + cpd00002[c] + cpd00531[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00531[e] 	H2O + ATP + Hg2+  -> H+ + ADP + Phosphate + Hg2+ 	((PA3690) or (PA3920))	PA3690 PA3920			Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn10344	Lead (Pb+2) ABC transporter	cpd00001[c] + cpd00002[c] + cpd04097[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd04097[e] 	H2O + ATP + Pb_Pb  -> H+ + ADP + Phosphate + Pb_Pb 	((PA3690) or (PA3920))	PA3690 PA3920			Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn10481	Copper transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00058[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00058[c] 	H2O + ATP + Cu2+  -> H+ + ADP + Phosphate + Cu2+ 	((PA3690) or (PA3920))	PA3690 PA3920		Terminal cytochrome C oxidases|Copper homeostasis|Terminal cytochrome C oxidases copy	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk	
rxn11268	phosphate ABC transporter permease protein	cpd00067[c] + cpd00012[c]  -> cpd00067[e] + cpd00012[e] 	H+ + PPi  -> H+ + PPi 	PA0450	PA0450		Phosphate metabolism	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn12405	transport of (r)-3-hydroxybutanoate [extraorganism-cytosol](passive)	cpd00797[e]  <=> cpd00797[c] 	(R)-3-Hydroxybutanoate  <=> (R)-3-Hydroxybutanoate 	PA2004	PA2004		Polyhydroxybutyrate metabolism	Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - added from Burk 	
rxn12848	Gly-Cys ABC transporters	cpd00001[c] + cpd00002[c] + cpd15603[e]  -> cpd00008[c] + cpd00009[c] + cpd15603[c] 	H2O + ATP + Gly-Cys  -> ADP + Phosphate + Gly-Cys 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn12849	Gly-Leu ABC transporters	cpd00001[c] + cpd00002[c] + cpd15604[e]  -> cpd00008[c] + cpd00009[c] + cpd15604[c] 	H2O + ATP + Gly-Leu  -> ADP + Phosphate + Gly-Leu 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn12850	Gly-Phe ABC transporters	cpd00001[c] + cpd00002[c] + cpd15605[e]  -> cpd00008[c] + cpd00009[c] + cpd15605[c] 	H2O + ATP + Gly-Phe  -> ADP + Phosphate + Gly-Phe 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		3.A.1.5	*JAB 01/13/14 - added from Burk 	
rxn12851	Gly-Try ABC transporters	cpd00001[c] + cpd00002[c] + cpd15606[e]  -> cpd00008[c] + cpd00009[c] + cpd15606[c] 	H2O + ATP + Gly-Tyr  -> ADP + Phosphate + Gly-Tyr 	(PA4503 and PA4504 and PA4505 and PA4506)	PA4503 PA4504 PA4505 PA4506		ABC transporter dipeptide (TC 3.A.1.5.2)	Transport	0	0	1000	0		3.A.1.5	*JAB 01/13/14 - added from Burk 	
EX_cpd00528(e)	EX nitrogen e	cpd00528[e]  <=> 	N2  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00381(e)	EX Cystine	cpd00381[e]  <=> 	L-Cystine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00386(e)	EX D-Malate	cpd00386[e]  <=> 	D-Malate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cPY00116(e)	EX phosphoethanolamine KDO(2)-lipid (A)	cPY00116[e]  <=> 	phosphoethanolamine KDO(2)-lipid (A)  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00001(e)	EX H2O e	cpd00001[e]  <=> 	H2O  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00007(e)	EX O2 e	cpd00007[e]  <=> 	O2  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00009(e)	EX Phosphate e	cpd00009[e]  <=> 	Phosphate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00011(e)	EX CO2 e	cpd00011[e]  <=> 	CO2  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00012(e)	EX PPi e	cpd00012[e]  <=> 	PPi  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00013(e)	EX NH3 e	cpd00013[e]  <=> 	NH3  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00023(e)	EX L-Glutamate e	cpd00023[e]  <=> 	L-Glutamate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00027(e)	EX D-Glucose e	cpd00027[e]  <=> 	D-Glucose  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00030(e)	EX Mn2+ e	cpd00030[e]  <=> 	Mn2+  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00033(e)	EX Glycine e	cpd00033[e]  <=> 	Glycine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00034(e)	EX Zn2+ e	cpd00034[e]  <=> 	Zn2+  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00035(e)	EX L-Alanine e	cpd00035[e]  <=> 	L-Alanine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00036(e)	EX Succinate e	cpd00036[e]  <=> 	Succinate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00039(e)	EX L-Lysine e	cpd00039[e]  <=> 	L-Lysine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00041(e)	EX L-Aspartate e	cpd00041[e]  <=> 	L-Aspartate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00048(e)	EX Sulfate e	cpd00048[e]  <=> 	Sulfate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00051(e)	EX L-Arginine e	cpd00051[e]  <=> 	L-Arginine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00053(e)	EX L-Glutamine e	cpd00053[e]  <=> 	L-Glutamine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00054(e)	EX L-Serine e	cpd00054[e]  <=> 	L-Serine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00058(e)	EX Cu2+ e	cpd00058[e]  <=> 	Cu2+  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00060(e)	EX L-Methionine e	cpd00060[e]  <=> 	L-Methionine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00063(e)	EX Ca2+ e	cpd00063[e]  <=> 	Ca2+  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00064(e)	EX Ornithine e	cpd00064[e]  <=> 	Ornithine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00065(e)	EX L-Tryptophan e	cpd00065[e]  <=> 	L-Tryptophan  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00066(e)	EX L-Phenylalanine e	cpd00066[e]  <=> 	L-Phenylalanine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00067(e)	EX H+ e	cpd00067[e]  <=> 	H+  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00069(e)	EX L-Tyrosine e	cpd00069[e]  <=> 	L-Tyrosine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00073(e)	EX Urea e	cpd00073[e]  <=> 	Urea  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00075(e)	EX Nitrite e	cpd00075[e]  <=> 	Nitrite  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00080(e)	EX Glycerol-3-phosphate e	cpd00080[e]  <=> 	Glycerol-3-phosphate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00084(e)	EX L-Cysteine e	cpd00084[e]  <=> 	L-Cysteine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00092(e)	EX Uracil e	cpd00092[e]  <=> 	Uracil  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00098(e)	EX Choline e	cpd00098[e]  <=> 	Choline  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00099(e)	EX Cl- e	cpd00099[e]  <=> 	Cl-  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00100(e)	EX Glycerol e	cpd00100[e]  <=> 	Glycerol  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00105(e)	EX D-Ribose e	cpd00105[e]  <=> 	D-Ribose  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00106(e)	EX Fumarate e	cpd00106[e]  <=> 	Fumarate  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00107(e)	EX L-Leucine e	cpd00107[e]  <=> 	L-Leucine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00108(e)	EX Galactose e	cpd00108[e]  <=> 	Galactose  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00117(e)	EX D-Alanine e	cpd00117[e]  <=> 	D-Alanine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00118(e)	EX Putrescine e	cpd00118[e]  <=> 	Putrescine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00119(e)	EX L-Histidine e	cpd00119[e]  <=> 	L-Histidine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00122(e)	EX N-Acetyl-D-glucosamine e	cpd00122[e]  <=> 	N-Acetyl-D-glucosamine  <=> 		 		Exchange	Exchange	1	0	0	0				
EX_cpd00129(e)	EX L-Proline e	cpd00129[e]  <=> 	L-Proline  <=> 		 		Exchange	Exchange	1	0	0	0				
